"gwno","event_id_cnty","event_id_no_cnty","date","year","time_precision","event_tax","actor_tax","ally_actor_1","inter1","actor2","ally_actor_2","inter2","interaction","country","admin1","admin2","admin3","location","latitude","longitude","prec_tax","source","notes","fatalities","month","day","spec_id"
475,"2999NIG",48887,2011-04-17,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Taraba","Ardo-Kola","","Jalingo",8.88333,11.36667,1,"BBC Monitoring Africa","Youths in Jalingo protested alleged manipulation of election results but were dispersed when police threw teargas canisters at them.",0,4,17,"A-127"
475,"3000NIG",48888,2011-04-17,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Taraba","Kurmi","","Mutumbiyu",7.2667,10.6,1,"BBC Monitoring Africa","Rioting in Jalingo was dispersed by teargas by police, but spilled over to neighbouring towns of Bali, Gassol and Mutum-Biyu where fighting took place between party supporters and two people were killed. ",1,4,17,"A-128"
475,"2995NIG",48883,2011-04-17,2011,1,"Protests","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"","",0,50,"Nigeria","Gombe","Akko","","Gombe",10.28944,11.17167,1,"Agence France Presse","Buildings were burnt as CPC rioters took over the streets in protest at the impending victory of Goodluck Jonathon in Bauchi and Gombe states. Those in the north of the country typically supported the challenger, Buhuri. In similar unrest around the region rioters targeted PDP supporters. ",0,4,17,"A-129"
475,"2994NIG",48882,2011-04-17,2011,1,"Protests","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Bauchi","Bauchi","","Bauchi",10.31583,9.84417,1,"Agence France Presse","Buildings were burnt as rioters took over the streets in protest at the impending victory of Goodluck Jonathon in Bauchi and Gombe states.",0,4,17,"A-130"
475,"3019NIG",48907,2011-04-18,2011,1,"Violence against civilians","Bajju Ethnic Militia (Nigeria)","Christian Group (Nigeria)",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria)",7,47,"Nigeria","Kaduna","Zonkwa","","Zonkwa",9.78671,8.28438,1,"HRW","On the afternoon of April 18, Christians in the southern Kaduna town of Zonkwa, who were mostly from the Bajju ethnic group, set up roadblocks on the main road leading through Zonkwa. That evening, some of the youth attempted to stop a truck driven by a Hausa-Fulani man. The driver initially refused to stop, but the youth managed to stop the vehicle and the driver fled. He said the youth then burned nearby shops belonging to Hausa-Fulani residents, and the violence soon spread. Christian leaders, on the other hand, allege that Hausa-Fulani in Zonkwa started the violence and burned a hotel owned by a retired military officer. 71 Muslims killed in the attack—63 men and 8 boys.They also reported that 143 houses, 8 mosques, 15 shops, 13 vehicles, and 65 motorcycles were burned. In addition Muslim leaders said that 311 Muslims were buried in mass graves during three burials from April 21 to 23, 2011. These fatalities have been split over the 2 days of violence.",226,4,18,"A-131"
475,"3007NIG",48895,2011-04-18,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,47,"Nigeria","Kaduna","Chikun","","Chikun",10.26912,7.10845,2,"HRW","On the morning of April 18, mobs of Christians, many of them from outside Maraban Rido, attacked Muslim residents in the town, according to Muslim witnesses. In a memorandum submitted to the state commission of inquiry, Muslim community leaders listed the names of 40 Muslims killed in Maraban Rido and stated that about 400 houses, 6 mosques, and 8 Islamic schools were burned.",40,4,18,"A-132"
475,"3011NIG",48899,2011-04-18,2011,1,"Battle-No change of territory","Christian Militia (Nigeria)","",4,"Muslim Militia (Nigeria)","",4,44,"Nigeria","Kaduna","ZangonKa","","Kafachan",9.58333,8.3,1,"HRW","In Kafanchan, which has a large Hausa-Fulani Muslim population in the center of the town, the fighting left both Muslims and Christians dead and their properties, mosques, and churches destroyed.",15,4,18,"A-133"
475,"3015NIG",48903,2011-04-18,2011,1,"Violence against civilians","CPC: Congress for Progressive Change","",3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Nigeria","Kaduna","Zaria","","Zaria",11.06667,7.7,1,"Agence France Presse","Residents reported that a home belonging to Vice President Namadi Sambo was among those set alight in the northern city of Zaria and a mob sought to burn a Christian woman alive in another area. Mobs also killed a Christian lecturer and several Christian students at the campus of the Nuhu Bamalli Polytechnic. Churches were also burnt and a prison was raided, with a number of inmates escaping, residents said. ",10,4,18,"A-134"
475,"3014NIG",48902,2011-04-18,2011,1,"Violence against civilians","Fulani Ethnic Militia (Nigeria)","Muslim Group (Nigeria); CPC: Congress for Progressive Change",4,"Civilians (Nigeria)","Christian Group (Nigeria); PDP: People's Democratic Party",7,47,"Nigeria","Kaduna","Soba","","Soba",10.98133,8.05749,1,"HRW","On the morning of April 18, in Soba local government area, Hausa-Fulani Muslims, who witnesses said supported the CPC, attacked Hausa-Fulani Christians, who supported the PDP. Christian witnesses in three villages said they recognized the attackers as Muslims from neighboring communities. The mob attacked the first two villages—Ungwar Kerau and Unwar Dawa—and burned Christian homes and churches. No one was killed, they said. By that afternoon, news of the first attacks reached the third village, Ungwar Tuji. In Ungwar Tuji, two Hausa-Fulani PDP supporting Christians were killed. The Christian men in the village sent their families across the river for safety and prepared to defend their homes. They then went into the houses, ransacked the houses, looted the property, and then set the houses on fire. They also set one of the churches ablaze. None of the Muslim houses were touched. Only the Christian houses were burned.",2,4,18,"A-135"
475,"3008NIG",48896,2011-04-18,2011,1,"Battle-No change of territory","Muslim Militia (Nigeria)","",4,"Christian Militia (Nigeria)","",4,44,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,1,"HRW","Clashes between Muslim and Christian youth also erupted in the state capital as mobs on both sides of the religious divide burned and looted property, and killed those of the opposing faith. The federal panel concluded that 827 people died in Kaduna State over the course of all violence. Fatalities divided amongst the all Kaduna events events occuring during these two days.",16,4,18,"A-136"
475,"3012NIG",48900,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","CPC: Congress for Progressive Change; Fulani Ethnic Group (Nigeria); Muslim Group (Nigeria)",5,"Rioters (Nigeria)","Christian Group (Nigeria); Igbo Ethnic Group (Nigeria); Bajju Ethnic Group (Nigeria)",5,55,"Nigeria","Kaduna","ZangonKa","","Kafachan",9.58333,8.3,1,"HRW","Fulani CPC riots in Kafanchan destroy several structures leaving parts of the city as rubble. The reason for the riots may be related to the result of a recent election in the area. Muslim leaders reported that 17 Muslims were killed in Kafanchan, while 30 mosques and 241 houses were burned or destroyed. Christian leaders reported that 30 Christians were killed in Jema’a local government area, which includes Kafanchan, and 14 churches were destroyed. leader for the Igbo ethnic group in Kafanchan, the vast majority Christians from southeast Nigeria, told Human Rights Watch that 11 Igbo residents were killed, while 224 of their houses and 837 shops, many of them in the central market, were burned in the violence. Violence spans April 18-19. Fatalities split btwn 2 days. Muslim leaders allege that the violence started early in the day on April 18 when Bajju youth killed a Hausa-Fulani man on the outskirts of Kafanchan and vandalized his vehicle. That evening, Muslims said that Christians, predominantly from the Bajju ethnic group, started burning Muslim homes and attacking Muslims on the outskirts of Kafanchan.",29,4,18,"A-137"
475,"3013NIG",48901,2011-04-18,2011,1,"Violence against civilians","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,57,"Nigeria","Kaduna","Rido","","Maraban Rido",10.4567,7.51194,1,"HRW","A mosque burned by CPC mobs on April 18, 2011 in Maraban Rido, Kaduna State. Muslim leaders said 40 Muslims were killed in the town.",40,4,18,"A-138"
475,"3010NIG",48898,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"Rioters (Nigeria)","PDP: People's Democratic Party",5,55,"Nigeria","Kaduna","Kaduna South","","Kaduna ",10.52306,7.44028,1,"Dow Jones","The governor of Kaduna declared a 24-hour curfew to try to curtail continuing rioting and violence by CPC supporters against PDP supporters in the city. Some reports of PDP adherents responding in kind, destroying mosques and homes of their attackers  - Christian travelers were dragged out of their vehicles by groups of Muslims and killed on the main road leading north of the city. Mobs of Christians also torched vehicles and killed Muslim motorists on the expressway leading through Gonin Gora and other predominantly Christian neighborhoods in the southern side of the city.  The violence appears to be a reaction to the impending loss of Buhari, who has widespread popular support in his native, mostly Muslim northern Nigeria. At least 12 killed.",12,4,18,"A-139"
475,"3020NIG",48908,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"Military Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Kano","Nassaraw","","Kano City",12.00012,8.5288,1,"Agence France Presse","Due to ongoing rioting, an unspecified number of people were killed when homes and shops were attacked. Rioters fought with soldiers in Kano. A mob used wooden planks to beat two people who appeared to be Christians based on their dress. Red Cross confirms at least six dead.",6,4,18,"A-140"
475,"3001NIG",48889,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Adamawa","Michika","","Michika",10.6159,13.3849,1,"BBC Monitoring Africa","Adamawa State Governor Murtala Nyako yesterday imposed a dusk-to-dawn curfew in some parts of the state to stem the violence over the presidential result released in the state. Rioting and street violence was most pronounced in Yola, Mubi and Michika towns where at least five people were killed and over 50 buildings burned. ",1,4,18,"A-141"
475,"3002NIG",48890,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Adamawa","Hong","","Mubi",10.26761,13.26436,1,"BBC Monitoring Africa","Adamawa State Governor Murtala Nyako yesterday imposed a dusk-to-dawn curfew in some parts of the state to stem the violence over the presidential result released in the state. Rioting and street violence was most pronounced in Yola, Mubi and Michika towns where at least five people were killed and over 50 buildings burned. ",1,4,18,"A-142"
475,"3003NIG",48891,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Adamawa","Yola South","","Yola",9.2,12.48333,1,"BBC Monitoring Africa","Adamawa State Governor Murtala Nyako yesterday imposed a dusk-to-dawn curfew in some parts of the state to stem the violence over the presidential result released in the state. Rioting and street violence was most pronounced in Yola, Mubi and Michika towns where at least five people were killed and over 50 buildings burned. ",3,4,18,"A-143"
475,"3005NIG",48893,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Federal Capital Territory","Abuja Municipality","","Gwagwalada",8.94139,7.09194,1,"BBC Monitoring Africa","At Gwagwalada, there was pandemonium for almost two hours over fears of the outbreak of political violence. Traders quickly shut their shops, vehicle owners reversed and returned to the directions they were coming from while the police and the military were said to have patrolled the town to restore calm.",0,4,18,"A-144"
475,"3022NIG",48910,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","",5,"Police Forces of Nigeria (2007-2010)","",1,15,"Nigeria","Niger","Mokwa","","Maraba",9.4167,5.8667,1,"BBC Monitoring Africa","Post-election violence erupted in the Mararaba area of Nasarawa State, which shares borders with some satellite towns of the FCT. Irate youths protesting the defeat of their presidential candidate, Gen. Muhammadu Buhari, barricaded the major road and unleashed violence on motorists and other road users.",0,4,18,"A-145"
475,"3016NIG",48904,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"","",0,50,"Nigeria","Kaduna","Zaria","","Zaria",11.06667,7.7,1,"HRW","In Zaria and Sabon Gari neighborhoods with large Christian populations, mobs of CPC supporters, chanting political slogans, set fire to churches and burned and looted Christian property. A Human Rights Watch researcher met a group of Christians inside a burned-out church in Zaria. The pastor said the April 18, 2011 attack was the third time mobs had burned the Nasara Baptist Church.",0,4,18,"A-146"
475,"3017NIG",48905,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","Fulani Ethnic Group (Nigeria)",5,"","",0,50,"Nigeria","Kaduna","Zonkwa","","Zonkwa",9.78671,8.28438,1,"HRW","Christian leaders allege that Hausa-Fulani in Zonkwa started the violence and burned a hotel owned by a retired military officer.",0,4,18,"A-147"
475,"3004NIG",48892,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"Agence France Presse","The military dispersed youths in an area near the capital Abuja after they had barricaded a highway.",0,4,18,"A-148"
475,"3006NIG",48894,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Gombe","Akko","","Gombe",10.28944,11.17167,1,"Agence France Presse","Rioting continued in Gombe where an unspecified number of people were killed due to a home being set ablaze. Later confirmed that 17 were killed and ove 100 received medical attention in the Federal Medical Centre in Gombe town.",17,4,18,"A-149"
475,"3021NIG",48909,2011-04-18,2011,1,"Riots","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Katsina","Katsina (K)","","Katsina City",12.98943,7.60063,1,"Reuters","Ongoing rioting in Katsina in response to electoral outcome. Red Cross confirms at least eight dead. ",8,4,18,"A-150"
475,"3023NIG",48911,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Plateau","Jos North","","Jos",9.91667,8.9,1,"Agence France Presse","Riots and protests spread to the tense central Nigerian city of Jos, hit by years of deadly clashes between Christian and Muslim ethnic groups. No specification of casualties. ",0,4,18,"A-151"
475,"3024NIG",48912,2011-04-18,2011,1,"Protests","Rioters (Nigeria)","",5,"","",0,50,"Nigeria","Yobe","Nangere","","Potiskum",11.7119,11.0697,1,"Agence France Presse","In the town of Potiskum in Yobe state, a resident reported that a mob sought to pin down a Christian woman and burn her with a tyre, but residents put the fire out and took her to hospital.",0,4,18,"A-152"
475,"3009NIG",48897,2011-04-18,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Kaduna","Kaduna South","","Kaduna",10.52224,7.43828,2,"HRW","Beginning on the evening of April 18 and continuing into the day on April 19, mobs in southern Kaduna State killed hundreds of Muslims and “ethnically cleansed” entire towns and villages of their Muslim populations, including Zonkwa, Matsirga, and Gidan Maga. The federal panel concluded that 827 people died in Kaduna State over the course of all violence. Fatalities divided amongst the all Kaduna events events occuring during these two days.",31,4,18,"A-153"
475,"3018NIG",48906,2011-04-18,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Muslim Group (Nigeria)",7,37,"Nigeria","Kaduna","Zonkwa","","Zonkwa",9.78671,8.28438,1,"HRW","Beginning on the evening of April 18 and continuing into the day on April 19, mobs in southern Kaduna State killed hundreds of Muslims and “ethnically cleansed” entire towns and villages of their Muslim populations, including Zonkwa, Matsirga, and Gidan Maga. The federal panel concluded that 827 people died in Kaduna State over the course of all violence. Fatalities divided amongst the all Kaduna events events occuring during these two days.",20,4,18,"A-154"
475,"3032NIG",48920,2011-04-19,2011,1,"Violence against civilians","Bajju Ethnic Militia (Nigeria)","",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria); Muslim Group (Nigeria)",7,47,"Nigeria","Kaduna","Zonkwa","","Zonkwa",9.78671,8.28438,1,"HRW","A mob of Bajju attacks a group of Fulani-Hausa residents in Zonkwa, (and nearby Matsirga and Gidan Magain) ongoing ethnic strife and political strife. Attacks on April 18-19, 2011. Casualties reported, numbers not known. Muslim leaders said that 311 Muslims were buried in mass graves during three burials from April 21 to 23, 2011. Fatalities split btwn the 2 days. The mobs also burned four mosques in the town, including the central mosque, and 42 houses.",156,4,19,"A-155"
475,"3027NIG",48915,2011-04-19,2011,1,"Violence against civilians","Christian Militia (Nigeria)","Berom Ethnic Group (Nigeria)",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria)",7,47,"Nigeria","Kaduna","Kaduna South","","Kaduna ",10.52306,7.44028,3,"HRW","Christians, believed to be Berom, in southern Kaduna State also killed or drove out hundreds of rural Fulani—many of them pastoralists—in rural settlements across the southern half of the state. The attacks were widespread and in many cases appeared to be carried out in a coordinated manner.",100,4,19,"A-156"
475,"3025NIG",48913,2011-04-19,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria)",7,47,"Nigeria","Kaduna","Chikun","","Chikun",10.26912,7.10845,2,"HRW","HRW reports Christian violence against Muslims (Fulani) in Chikun LGA. This attack is related to similar attacks in Kaura and Jaba. Casualities and injuries not listed for Chikun. It is not clear of the attack was coordinated or a result of mob action. ",0,4,19,"A-157"
475,"3030NIG",48918,2011-04-19,2011,1,"Violence against civilians","Christian Militia (Nigeria)","",4,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria); Muslim Group (Nigeria)",7,47,"Nigeria","Kaduna","Kaura","","Kaura",11.30826,7.82275,2,"HRW","HRW reports Christian violence against Muslims (Fulani) in Fadan Daji village, Kaura LGA. This attack is related to similar attacks in Chikun and Jaba. 47 killed in Fadan Daji. It is not clear of the attack was coordinated or a result of mob action. ",47,4,19,"A-158"
475,"3029NIG",48917,2011-04-19,2011,1,"Violence against civilians","Military Forces of Nigeria (2010-)","",1,"Civilians (Nigeria)","",7,17,"Nigeria","Kaduna","ZangonKa","","Kafachan",9.58333,8.3,1,"HRW","Witnesses said that soldiers arrived in Kafanchan in the early morning hours of April 19 but then left. The soldiers returned later in the morning and shot and killed some of the youth, before ending the violence.",10,4,19,"A-159"
475,"3028NIG",48916,2011-04-19,2011,1,"Riots","Rioters (Nigeria)","CPC: Congress for Progressive Change",5,"Rioters (Nigeria)","Christian Group (Nigeria)",5,55,"Nigeria","Kaduna","ZangonKa","","Kafachan",9.58333,8.3,1,"HRW","Fulani CPC riots in Kafanchan continue for a second day. Church leaders reported 129 churches were destroyed in the rioting. Despite the reported targeting of Christians and PDP supporters, Muslim leaders claim the deaths of 17 Muslims (there may have been Christian retaliation; 30 Christian dead. Soldiers sent to restore peace shot and killed ""some youth.""",47,4,19,"A-160"
475,"3026NIG",48914,2011-04-19,2011,1,"Violence against civilians","Rioters (Nigeria)","",5,"Civilians (Nigeria)","Fulani Ethnic Group (Nigeria)",7,57,"Nigeria","Kaduna","Jaba","","Jaba",9.48185,8.04372,2,"HRW","A Fulani man was attacked by a mob on April 19, 2011 in Jaba local government area of Kaduna State. The man survived but was injured. ",0,4,19,"A-161"
475,"3031NIG",48919,2011-04-19,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Nigeria","Kaduna","Zangon Kataf ","","Zangon Kataf ",9.841,8.25491,2,"HRW","Christian leaders reported that 18 (later reports claim 7) Christians were killed in Zangon Kataf local government area, an area that is nearby Zonkwa.",7,4,19,"A-162"
475,"3033NIG",48921,2011-04-20,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"BBC Monitoring Africa","The Borno State police command has confirmed the death of three persons in a bomb explosion which occurred in Maiduguri on the 20th April. Those who died included two police officers responding to an emergency call whose vehicle ran over a planted bomb intended to disrupt emergency response. ",3,4,20,"A-163"
475,"3034NIG",48922,2011-04-22,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Kaduna","Kaduna South","","Kaduna ",10.52306,7.44028,1,"Agence France Presse","A man was killed overnight when a bomb he was assembling exploded, police said Saturday in northern Nigeria. Three others were wounded in the blast in a predominately Muslim area of Kaduna city. ",1,4,22,"A-164"
475,"3035NIG",48923,2011-04-23,2011,1,"Protests","Rioters (Nigeria)","Prisoners (Nigeria)",5,"","",0,50,"Nigeria","Adamawa","Yola South","","Yola",9.2,12.48333,1,"Agence France Presse","Suspects detained in post-election violence have rioted at an overcrowded jail in northern Nigeria and more than a dozen of them escaped. Andrew Barka, controller of prisons in Adamawa state, said 18 of the 600 arrested this week escaped but six were later captured. The prison in the state capital Yola, which has a capacity for 900 inmates, was already full when the 600 were thrown into the jail. The inmates rioted, burning a section of our (training) workshop and injuring two wardens",0,4,23,"A-165"
475,"3036NIG",48924,2011-04-24,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Three bomb blasts have hit a city in northeastern Nigeria, leaving a number of people killed and wounded in an attack believed to have been carried out by Islamist sect, Boko Haram. Two blasts occurred at a hotel tavern in the city. At least three killed and eight wounded. ",3,4,24,"A-166"
475,"3037NIG",48925,2011-04-25,2011,1,"Remote violence","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Police in Maiduguri reported a fresh explosion Monday morning when a bomb was tossed at one of its patrol vans by attackers on a motorcycle, leaving one policeman wounded. ",0,4,25,"A-167"
475,"3039NIG",48927,2011-04-26,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Police in Maiduguri reported three bomb blasts on the morning voting was to take place in the city; no reports of deaths. ",0,4,26,"A-168"
475,"3038NIG",48926,2011-04-26,2011,1,"Battle-No change of territory","Unidentified Armed Group (Nigeria)","",3,"Police Forces of Nigeria (2010-)","",1,13,"Nigeria","Benue","Makurdi","","Makurdi",7.7411,8.5121,1,"Vanguard (Nigeria)","No fewer than 2 persons were shot dead in Makurdi the Benue State capital at the ongoing gubernetorial election while attempting to snatch INEC ballot boxes.  ",2,4,26,"A-169"
475,"3040NIG",48928,2011-04-27,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Nigerian police hunted a suspected Islamist sect member on Wednesday who opened fire at a polling station in the country's northeast, killing one person and wounding four. ",1,4,27,"A-170"
475,"3041NIG",48929,2011-05-04,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","Christian Group (Nigeria)",7,37,"Nigeria","Adamawa","Ganye","","Kurum",8.3,12.0333,1,"Agence France Presse","At least 20 people were killed in a pre-dawn attack Friday in a Christian village in northern Nigeria. Unidentified gunmen attacked the farming village in Bauchi state, one of the worst hit by post-election riots last month, killing 20 residents and burning 20 houses.",20,5,4,"A-171"
475,"3042NIG",48930,2011-05-11,2011,1,"Battle-No change of territory","Military Forces of Nigeria (2007-2010) Joint Task Force","",1,"NDLF: Niger Delta Liberation Force","",3,13,"Nigeria","Delta","Burutu","","Ayakoromo",5.3167,5.75,1,"Reuters","The Nigerian army clashed with militants in the creeks of the Niger Delta on Wednesday. Military reports confirmed that there was a skirmish between members of the joint military taskforce (JTF) who were on routine patrol and renegade militants suspected to be associates of the wanted John Togo.",0,5,11,"A-172"
475,"3043NIG",48931,2011-05-12,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","Two motorcycle-riding gunmen opened fire late Thursday on local chief, Abba Mukhtar, outside his home in Maiduguri, killing him and seriously injuring his friend. ",1,5,12,"A-173"
475,"3044NIG",48932,2011-05-12,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (International)","",7,37,"Nigeria","Kebbi","BirninKe","","Birnin Kebbi",12.45389,4.1975,1,"Reuters","Gunmen kidnapped a Briton and an Italian from their lodge in Nigeria's northwestern town of Birnin-Kebbi, shooting and wounding one person who tried to prevent the attack. The two men, who were working for a construction company, were seized from their accommodation. ",0,5,12,"A-174"
475,"3045NIG",48933,2011-05-13,2011,1,"Remote violence","Boko Haram","",3,"Civilians (Nigeria)","",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","An explosive device killed two pedestrians in the Nigerian city of Maiduguri. Police have blamed the Islamist sect known as Boko Haram. The explosive device may have been intended to target a joint police and military patrol, but detonated when disturbed by civilian pedestrians. ",2,5,13,"A-175"
475,"3046NIG",48934,2011-05-13,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Niger","Rafi","","Niger State",10,6,3,"Agence France Presse","Gunmen have killed two police guards attached to a government official in the central Nigerian state of Niger. Two motorcycle-riding gunmen opened fire on the two policemen guarding the home of the local government chairman of Suleija. ",2,5,13,"A-176"
475,"3047NIG",48935,2011-05-14,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","AC: Action Congress",7,37,"Nigeria","Nassarawa","Kadarko","","Kadarko",8.23333,8.56667,1,"Sahara Reporters","A leader of Action Confress Nigeria is assassinated in Kadarko while travelling to Makurdi. One of his prominent supporters were also injured in the attack. ",1,5,14,"A-177"
475,"3048NIG",48936,2011-05-15,2011,1,"Battle-No change of territory","Boko Haram","",3,"Military Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","An army patrol team came under attack in Gwange district of Maiduguri on Sunday night, leading to a shootout that lasted for 30 minutes. No details on casualties. 150 militants were later arrested in connection with the ambush. ",0,5,15,"A-178"
475,"3049NIG",48937,2011-05-17,2011,1,"Protests","Protesters (Nigeria)","NDPVF: Niger Delta People's Volunteer Force",6,"","",0,60,"Nigeria","Rivers","Port Harcourt","","Port Harcourt",4.78917,6.99861,2,"Agence France Presse","An ex-militant in Nigeria's oil region Tuesday led a march of over 1,000 youths and warned of a possible return to armed struggle if conditions did not improve in the impoverished delta.",0,5,17,"A-179"
475,"3051NIG",48939,2011-05-18,2011,1,"Violence against civilians","Boko Haram","",3,"Civilians (Nigeria)","Police Forces of Nigeria (2007-2010)",7,37,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","An off-duty policeman was ambushed and killed by suspected Boko Haram assailants while on his way home. Two civilians caught in crossfire, also died",3,5,18,"A-180"
475,"3050NIG",48938,2011-05-18,2011,1,"Battle-No change of territory","Boko Haram","",3,"Police Forces of Nigeria (2007-2010)","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A gang of suspected Boko Haram Islamists raided a police station in northeastern Nigeria and were locked in an hour-long gun battle with police overnight. No details of casualties.",0,5,18,"A-181"
475,"3052NIG",48940,2011-05-18,2011,1,"Protests","Protesters (Nigeria)","",6,"","",0,60,"Nigeria","Federal Capital Territory","Abuja Municipality","","Abuja",9.05735,7.48976,1,"BBC Monitoring Africa","Representatives of various groups and associations in Abuja staged a protest march to the national assembly to demand the immediate passage of the national health bill. The group of mostly women numbering more than 1,000 carried placards.",0,5,18,"A-182"
475,"3053NIG",48941,2011-05-19,2011,1,"Remote violence","Unidentified Armed Group (Nigeria)","",3,"Military Forces of Nigeria (2007-2010) Joint Task Force","",1,13,"Nigeria","Borno","Maiduguri","","Maiduguri",11.845,13.16,1,"Agence France Presse","A bomb went off Thursday wounding two soldiers and four policemen. Police suspect Boko Haram members planted a remote-controlled bomb targeting the patrol squad. The five were hit by shrapnel after the bomb was detonated a few metres from their patrol van. No reported deaths.",0,5,19,"A-183"
475,"3054NIG",48942,2011-05-21,2011,1,"Violence against civilians","Unidentified Armed Group (Nigeria)","",3,"Civilians (Nigeria)","AC: Action Congress Militia ",7,37,"Nigeria","Rivers","Ikwerre","","Emohua",4.88162,6.86247,2,"BBC Monitoring Africa","Action Congress of Nigeria (ACN) chairmanship candidate in Asari-Toru local government area, Soibibo Horsfall was allegedly abducted by unknown persons Saturday morning.",0,5,21,"A-184"
